landmark,distance,significance
13,0.0047566338041627,0
13,0.0142494811173438,1
13,0.0058949054458061,0
13,0.0035272106292169,0
13,0.0037538627753042,0
13,0.0065836027685278,0
13,0.003667804240376,0
13,0.0029208794556164,0
13,0.0038125227526437,0
13,0.0036143868419925,0
13,0.1031444424726652,1
13,0.0032176185710908,0
13,0.018092223456329,1
13,0.0042463727214585,0
13,0.0020496791444235,0
13,0.057368912603199,1
13,0.0028007437474282,0
13,0.0025106713305728,0
13,0.0044091207521896,0
13,0.0044683487076038,0
13,0.0734509807642541,1
13,0.0031858076829073,0
13,0.0043104634641195,0
13,0.0092889926988225,0
13,0.003492552758962,0
13,0.0069811480643502,0
13,0.003891151437828,0
13,0.0082893780868005,0
13,0.0186704207034212,1
13,0.0069899753921281,0
13,0.0025864832453263,0
13,0.0026025435308574,0
13,0.0478161077479722,1
13,0.0070727393166566,0
13,0.0028066294558543,0
13,0.011536991372246,0
13,0.0038645582553255,0
13,0.0043037018359827,0
13,0.0628269850577033,1
13,0.0145065802195597,1
13,0.0035886893783422,0
13,0.0028032947154663,0
13,0.0080656543087827,0
13,0.0030370966691079,0
13,0.0025123374301914,0
13,0.0091575660980617,0
13,0.0037916550009153,0
13,0.0036962466808095,0
13,0.0543436179176641,1
13,0.0037097463344978,0
13,0.0043629521935052,0
13,0.0037610565570523,0
13,0.004484990329315,0
13,0.0028094558200144,0
13,0.0024742877261096,0
13,0.0052750517245747,0
13,0.0076924640324293,0
13,0.0044101593400553,0
13,0.003737706453981,0
13,0.0085565181795133,0
13,0.0471834387520452,1
13,0.0036684656147553,0
13,0.0058539630134506,0
13,0.0102291821761193,0
13,0.0028125956602363,0
13,0.0438110015626879,1
13,0.0025250116904157,0
13,0.0035888264734387,0
13,0.0042784232186479,0
13,0.0165428104569205,1
13,0.0072475724859518,0
13,0.0042532513115425,0
13,0.0078453993349436,0
13,0.002747769041795,0
13,0.0024645950895255,0
13,0.0035771681245935,0
13,0.0099786926933858,0
13,0.0037263441651404,0
13,0.0064098906938414,0
13,0.0026319155153301,0
13,0.0037343176186898,0
13,0.0039193839680647,0
13,0.0028227440310003,0
13,0.0058875843740016,0
13,0.1407162926962045,1
13,0.0043636785383944,0
13,0.0030670260032034,0
13,0.0045804364848974,0
13,0.0029136492077578,0
13,0.0050112462181865,0
13,0.0036276515471205,0
13,0.0037788157189577,0
13,0.0046503468117387,0
13,0.0028382259237705,0
13,0.0041853806739028,0
13,0.0045846923132788,0
13,0.0095846592541253,0
13,0.002388628504358,0
13,0.0030294795540523,0
13,0.0029248912125578,0
13,0.0042891490516816,0
13,0.0053485476139787,0
13,0.0025496211685712,0
13,0.0164050820629826,1
13,0.0044984191439575,0
13,0.1349925768987755,1
13,0.0040069469419251,0
13,0.0031156556282835,0
13,0.0028121070232315,0
13,0.003809026085188,0
13,0.0374374260172595,1
13,0.0088021787657976,0
13,0.0037620409731328,0
13,0.044154936427649,1
13,0.0093256190827679,0
13,0.0044062613704284,0
13,0.0025885241140071,0
13,0.00399120923677,0
13,0.0057375268956377,0
13,0.0125006654011165,1
13,0.0023453381260582,0
13,0.001560186747898,0
13,0.0083712986875267,0
13,0.0040299571964916,0
13,0.0116488148240235,0
13,0.003610983746514,0
13,0.0055136132870604,0
13,0.0037786056129471,0
13,0.002334971971362,0
13,0.0189208573260344,1
13,0.0035581882962339,0
13,0.0020749620641267,0
13,0.0025226247014417,0
13,0.002613247752698,0
13,0.00359645498608,0
13,0.0028130226281339,0
13,0.0032180525989532,0
13,0.0038968859208265,0
13,0.0048246019833114,0
13,0.0036996676115196,0
13,0.0027838933519859,0
13,0.0092542725690556,0
13,0.0113080727582397,0
13,0.0044095568660227,0
13,0.0082801491799374,0
13,0.0028651083553441,0
13,0.0045200973128759,0
13,0.0038642734370286,0
13,0.0029070927841458,0
13,0.0108869326990779,0
13,0.1103382493178802,1
13,0.0023937211155827,0
13,0.0032295411544042,0
13,0.0070529959802801,0
13,0.0018883296736483,0
13,0.0037596980348358,0
13,0.0027918798518984,0
13,0.0035398291068517,0
13,0.0038378089477723,0
13,0.0023931518615879,0
13,0.0102931723639675,0
13,0.003087198178178,0
13,0.0816937818615107,1
13,0.0030506811838207,0
13,0.0058375577893057,0
13,0.0038167166888801,0
13,0.0037485281406741,0
13,0.0036472229930733,0
13,0.002761365458887,0
13,0.0042583650175258,0
13,0.0042988990543303,0
13,0.0072369686459642,0
13,0.0224648939992459,1
13,0.0368271966880819,1
13,0.0035218109412023,0
13,0.0024784956259105,0
13,0.0038814870424875,0
13,0.0043143520521799,0
13,0.0165353315331601,1
13,0.0035036974121906,0
13,0.0035469660277118,0
13,0.0033228050464324,0
13,0.0119785360725616,0
13,0.0038029205939017,0
13,0.0025089249209858,0
13,0.0113979753624396,0
13,0.0031941844541453,0
13,0.0039357608023655,0
13,0.0022228643371482,0
13,0.0176858816966435,1
13,0.0041253196775036,0
13,0.0035098537942855,0
13,0.003920639809788,0
13,0.0338065666645011,1
13,0.0664264818673996,1
13,0.0145565281297184,1
13,0.0035880181515685,0
13,0.0028055810861431,0
13,0.0034168267522993,0
13,0.0082483766823273,0
13,0.0114229554161047,0
13,0.0187744662810762,1
13,0.0036878872870235,0
13,0.0176411472973538,1
13,0.0053674457808381,0
13,0.0082484425689595,0
13,0.0036149451299939,0
13,0.0035295232665403,0
13,0.0040298383829611,0
13,0.0028111237108723,0
13,0.0827515286074942,1
13,0.013580890903888,1
13,0.0578985577746378,1
13,0.0039556792048609,0
13,0.0045328873032784,0
13,0.0027979769026346,0
13,0.002622162447416,0
13,0.0047027276557771,0
13,0.0050368861212943,0
13,0.0094233307730145,0
13,0.0038737230272364,0
13,0.0025243143544515,0
13,0.0038482873771301,0
13,0.0060113061610098,0
13,0.003873425585969,0
13,0.0092177782566989,0
13,0.0160152275786717,1
13,0.0040774999193862,0
13,0.0025783189577772,0
13,0.0029107997755108,0
13,0.0029371362508706,0
13,0.0612194260103721,1
13,0.0033023028427049,0
13,0.0088929783771748,0
13,0.0024108730216531,0
13,0.0026232213078006,0
13,0.0071049334452529,0
13,0.0038524158526509,0
13,0.0061101920316395,0
13,0.0027825196790343,0
13,0.0655303949311373,1
13,0.003662364235399,0
13,0.0088289246841543,0
13,0.0025540713390567,0
13,0.0216291512942796,1
13,0.0035255639885709,0
13,0.0027962677444556,0
13,0.002798152292605,0
13,0.0037201284353268,0
13,0.0042283862676122,0
13,0.0070825458799411,0
13,0.0040946118488339,0
13,0.0291775656061699,1
13,0.0480935649028949,1
13,0.0023822241677917,0
13,0.0084740833037583,0
13,0.008736232078824,0
13,0.0044211551320986,0
13,0.010212496277277,0
13,0.0036915339099862,0
13,0.0036481859691439,0
13,0.0088986884108113,0
13,0.0076460835191641,0
13,0.0036883425730188,0
13,0.0042324557591358,0
13,0.0027469348076041,0
13,0.0023680994667359,0
13,0.016802034308113,1
13,0.0036541691482367,0
13,0.003465062260123,0
13,0.0180693497322948,1
13,0.0026509010010359,0
13,0.0036034031282123,0
13,0.0087316838904093,0
13,0.0077717106526159,0
13,0.0034969579421868,0
13,0.0043160458558034,0
13,0.0027311501021914,0
13,0.0048728885006381,0
13,0.004453045497525,0
13,0.0083509199438379,0
13,0.0027363123396143,0
13,0.0159392681623178,1
13,0.0143724313208523,1
13,0.0037981455620608,0
13,0.0021108661945104,0
13,0.003656448848719,0
13,0.0040236905295627,0
13,0.0119213357257423,0
13,0.0034147319501937,0
13,0.003792937571763,0
13,0.0037509758829866,0
13,0.0038774806589743,0
13,0.0042957446643459,0
13,0.0027355699045218,0
13,0.0027649873081409,0
13,0.0036938022756582,0
13,0.0087652311226847,0
13,0.0036140829855563,0
13,0.0042129827031559,0
13,0.0234118058719898,1
13,0.0039176548242556,0
13,0.002654501974738,0
13,0.0074731750159556,0
13,0.0027334664226173,0
13,0.0023885285981586,0
13,0.0087221200507529,0
13,0.0310303729922796,1
13,0.0043400869043215,0
13,0.0035364905771835,0
13,0.002844591139539,0
13,0.0514795364163505,1
13,0.0057310212033855,0
13,0.0109747314499192,0
13,0.0112134146810964,0
13,0.0025612722937077,0
13,0.0026600202979758,0
13,0.0032042664529172,0
13,0.0039373263827379,0
13,0.0090991917137035,0
13,0.0025147692528355,0
13,0.0136169926069081,1
13,0.0054202257570138,0
13,0.00254136960903,0
13,0.0031418847865303,0
13,0.1337781802495988,1
13,0.0171830826175852,1
13,0.1353936081916682,1
13,0.0029494828585437,0
13,0.1003968207382238,1
13,0.0034199619909453,0
13,0.0012097541075717,0
13,0.0036758582210562,0
13,0.0025076526046217,0
13,0.0259671412971207,1
13,0.0028341878321811,0
13,0.0025061394457907,0
13,0.003659786946792,0
